Swab no.,Analyzed Date,Plant,รายการ Swab ที่ไม่ผ่านเกณฑ์,Report Date,Result
S.2181,25/04/2026,BNG1,พื้นใต้เครื่องเครื่องขึ้นรูป ซูชิโรล​ (ระหว่างงาน),01/05/2026,Detected L.monocytogenes
S.2182,25/04/2026,BNG1,ล้อรถเข็นห้องขึ้นรูป 1​  (หลังล้าง) 30,01/05/2026,Detected L.seeligeri
S.2183,25/04/2026,BNG1,พื้นใต้เครื่องเครื่องขึ้นรูป ซูชิโรล​  (หลังล้าง),01/05/2026,Detected L.seeligeri
S.2422,28/04/2026,1,พื้นหน้าตู้ Steam ก่อนล้าง,04/05/2026,"Detected L.innocua, L.monocytogenes"
S.2427,28/04/2026,1,พื้นหน้าตู้Steam ก่อนล้าง,04/05/2026,"Detected L.innocua, L.monocytogenes"
S.2428,28/04/2026,1,พื้นหน้าตู้Steam หลังล้าง,04/05/2026,"Detected L.innocua, L.monocytogenes"
S.2549,30/04/2026,1,พื้นหน้าตู้Steam ก่อนล้าง,06/05/2026,Detected L.welshimeri
S.0038,01/05/2026,BNG2,ถุงหมูปั้นก้อน (ก่อนสเปรย์แอลกอฮอล์) 30.04.26,07/05/2026,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1,4,,,
,2,0,,,
,3,0,,,
,4,1,,,
,5,0,,,
,BNG1,3,,,
,BNG2,1,,,
,QA,0,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
