,,,,,,,,,,,,,,,
Analyzed Date,Plant,รายการ,ประเภท,lot,วันที่ผลิต,ผลที่ไม่ผ่าน,,,,,,,,,
15/10/68,1 A,"FZN Hot Maki Chicken Bulgogi, Lob ตรวจแบบPCR",FG,A1-A6,141025 1,Detected Listeria monocytogenes,,,,,,,,,
15/10/68,1 B,ไก่ผัดซอสพริกกระเทียม 500 g ตราเดลี่ไทย,Test run,A1,141025,Detected Listeria monocytogenes,,,,,,,,,
15/10/68,2,ไส้BGหมูซอสสไตล์อิตาเลียน37g,WIP,A1-A5,141025 1,Detected Listeria monocytogenes,,,,,,,,,
17/10/68,1 B,"ข้าวไก่ทอด300กรัม,Chilled(อิ่มคุ้ม)",FG,A2,161025,Detected Listeria monocytogenes,,,,,,,,,
18/10/2025,5,"สลัดเห็ดออรินจิย่างเจ 150 กรัม, Chilled สินค้า fg monitor",FG,A1,181025,Detected Listeria monocytogenes,,,,,,,,,
18/10/2025,1 B,"ข้าวกล้องอบธัญพืช 145 กรัม,Fz ตรวจเชื้อ L.mono ซ้ำที่ 2",Confirm,A1,28/9/2025,Detected Listeria monocytogenes,,,,,,,,,
18/10/2025,1 B,"ข้าวกล้องอบธัญพืช 145 กรัม,Fz ตรวจเชื้อ L.mono ซ้ำที่ 3",Confirm,A1,28/9/2025,Detected Listeria monocytogenes,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm Coliform",Confirm,A9-B0,9/10/2025,Coliform = 10 cfu/g,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A1Rep.1,14/10/2025,Detected Listeria monocytogenes,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A1Rep.3,14/10/2025,Detected Listeria monocytogenes,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A2Rep.1,14/10/2025,"Detected Listeria monocytogenes,Coliform=20 cfu/g",,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A3Rep.2,14/10/2025,Coliform=10 cfu/g,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A3Rep.3,14/10/2025,Detected Listeria monocytogenes,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A4Rep.2,14/10/2025,Coliform=10 cfu/g,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A4Rep.3,14/10/2025,Coliform=10 cfu/g,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A5Rep.1,14/10/2025,Detected Listeria monocytogenes,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A5Rep.2,14/10/2025,Detected Listeria monocytogenes,,,,,,,,,
20/10/2025,1 A,"FZN Hot Maki Chicken Bulgogi, Lob Confirm L.mono,Coliform",Confirm,A6Rep.2,14/10/2025,Coliform=30 cfu/g,,,,,,,,,
20/10/2025,RM,ยำสาหร่ายสไตล์ญี่ปุ่น #SA (X-ray),RM,ร.251018,ผ.250729 ม.260129,Detected Listeria monocytogenes,,,,,,,,,
22/10/2025,2,ไส้BGหมูซอสสไตล์อิตาเลียน37g.WIP Confirm ซ้ำที่ 1,Confirm,A2,14/10/25 1,Detected Listeria monocytogenes,,,,,,,,,
